ion,num,type,charge
y18,18,y,1
y18^2,18,y,2
y18^3,18,y,3
y19,19,y,1
y19^2,19,y,2
y19^3,19,y,3
y2,2,y,1
y20,20,y,1
y20^2,20,y,2
y20^3,20,y,3
y21,21,y,1
y21^2,21,y,2
y21^3,21,y,3
y22,22,y,1
y22^2,22,y,2
y22^3,22,y,3
y23,23,y,1
y23^2,23,y,2
y23^3,23,y,3
y24,24,y,1
y24^2,24,y,2
y24^3,24,y,3
y25,25,y,1
y25^2,25,y,2
y25^3,25,y,3
y26,26,y,1
y26^2,26,y,2
y26^3,26,y,3
y27,27,y,1
y27^2,27,y,2
y27^3,27,y,3
y28^2,28,y,2
y28^3,28,y,3
y29^2,29,y,2
y29^3,29,y,3
y2^2,2,y,2
y3,3,y,1
y3^2,3,y,2
y3^3,3,y,3
y4,4,y,1
y4^2,4,y,2
y4^3,4,y,3
y5,5,y,1
y5^2,5,y,2
y5^3,5,y,3
y6,6,y,1
y6^2,6,y,2
y6^3,6,y,3
y7,7,y,1
y7^2,7,y,2
y7^3,7,y,3
y8,8,y,1
y8^2,8,y,2
y8^3,8,y,3
y9,9,y,1
y9^2,9,y,2
y9^3,9,y,3
z1,1,z,1
z10,10,z,1
z10^2,10,z,2
z10^3,10,z,3
z11,11,z,1
z11^2,11,z,2
z11^3,11,z,3
z12,12,z,1
z12^2,12,z,2
z12^3,12,z,3
z13,13,z,1
z13^2,13,z,2
z13^3,13,z,3
z14,14,z,1
z14^2,14,z,2
z14^3,14,z,3
z15,15,z,1
z15^2,15,z,2
z15^3,15,z,3
z16,16,z,1
z16^2,16,z,2
z16^3,16,z,3
z17,17,z,1
z17^2,17,z,2
z17^3,17,z,3
z18,18,z,1
z18^2,18,z,2
z18^3,18,z,3
z19,19,z,1
z19^2,19,z,2
z19^3,19,z,3
z2,2,z,1
z20,20,z,1
z20^2,20,z,2
z20^3,20,z,3
z21,21,z,1
z21^2,21,z,2
z21^3,21,z,3
z22,22,z,1
z22^2,22,z,2
z22^3,22,z,3
z23,23,z,1
z23^2,23,z,2
z23^3,23,z,3
z24,24,z,1
z24^2,24,z,2
z24^3,24,z,3
z25,25,z,1
z25^2,25,z,2
z25^3,25,z,3
z26,26,z,1
z26^2,26,z,2
z26^3,26,z,3
z27,27,z,1
z27^2,27,z,2
z27^3,27,z,3
z28^2,28,z,2
z28^3,28,z,3
z29^2,29,z,2
z29^3,29,z,3
z2^2,2,z,2
z3,3,z,1
z3^2,3,z,2
z3^3,3,z,3
z4,4,z,1
z4^2,4,z,2
z4^3,4,z,3
z5,5,z,1
z5^2,5,z,2
z5^3,5,z,3
z6,6,z,1
z6^2,6,z,2
z6^3,6,z,3
z7,7,z,1
z7^2,7,z,2
z7^3,7,z,3
z8,8,z,1
z8^2,8,z,2
z8^3,8,z,3
z9,9,z,1
z9^2,9,z,2
z9^3,9,z,3
X2^3,2,X,3
a3^3,3,a,3
